Heartbeat every 10 seconds,Average heart rate(/min)
66.66666666666667,55.03733834833057
56.25,55.03733834833057
56.25,55.03733834833057
55.38461538461539,55.03733834833057
54.54545454545455,55.03733834833057
56.25,55.03733834833057
53.73134328358209,55.03733834833057
55.38461538461539,55.03733834833057
52.94117647058823,55.03733834833057
52.94117647058823,55.03733834833057
53.99999999999999,55.03733834833057
54.54545454545455,55.03733834833057
55.10204081632653,55.03733834833057
55.10204081632653,55.03733834833057
54.13533834586466,55.03733834833057
54.13533834586466,55.03733834833057
54.13533834586466,55.03733834833057
53.33333333333333,55.03733834833057
54.54545454545455,55.03733834833057
54.87804878048781,55.03733834833057
54.21686746987951,55.03733834833057
54.87804878048781,55.03733834833057
54.54545454545455,55.03733834833057
55.214723926380366,55.03733834833057
55.214723926380366,55.03733834833057
55.10204081632653,55.03733834833057
54.82233502538071,55.03733834833057
55.10204081632653,55.03733834833057
54.82233502538071,55.03733834833057
54.2713567839196,55.03733834833057
54.78260869565218,55.03733834833057
54.3103448275862,55.03733834833057
54.54545454545455,55.03733834833057
55.26315789473685,55.03733834833057
55.021834061135365,55.03733834833057
54.54545454545455,55.03733834833057
54.752851711026615,55.03733834833057
55.172413793103445,55.03733834833057
54.54545454545455,55.03733834833057
55.172413793103445,55.03733834833057
54.9618320610687,55.03733834833057
54.72972972972974,55.03733834833057
55.10204081632653,55.03733834833057
55.10204081632653,55.03733834833057
54.54545454545455,55.03733834833057
55.10204081632653,55.03733834833057
54.87804878048781,55.03733834833057
54.87804878048781,55.03733834833057
55.04587155963302,55.03733834833057
54.87804878048781,55.03733834833057
54.7112462006079,55.03733834833057
55.04587155963302,55.03733834833057
55.0,55.03733834833057
55.15320334261839,55.03733834833057
55.15320334261839,55.03733834833057
55.15320334261839,55.03733834833057
55.46218487394958,55.03733834833057
55.24296675191815,55.03733834833057
54.9618320610687,55.03733834833057
55.38461538461539,55.03733834833057
55.10204081632653,55.03733834833057
55.10204081632653,55.03733834833057
55.24296675191815,55.03733834833057
55.05882352941176,55.03733834833057
54.929577464788736,55.03733834833057
55.188679245283026,55.03733834833057
55.05882352941176,55.03733834833057
55.188679245283026,55.03733834833057
55.26315789473685,55.03733834833057
55.14223194748358,55.03733834833057
55.021834061135365,55.03733834833057
55.26315789473685,55.03733834833057
55.021834061135365,55.03733834833057
55.26315789473685,55.03733834833057
54.87804878048781,55.03733834833057
55.10204081632653,55.03733834833057
54.766734279918865,55.03733834833057
54.989816700611,55.03733834833057
54.989816700611,55.03733834833057
55.06692160611854,55.03733834833057
55.06692160611854,55.03733834833057
54.857142857142854,55.03733834833057
55.06692160611854,55.03733834833057
55.06692160611854,55.03733834833057
54.752851711026615,55.03733834833057
54.937163375224415,55.03733834833057
55.03597122302159,55.03733834833057
54.937163375224415,55.03733834833057
55.13513513513513,55.03733834833057
55.03597122302159,55.03733834833057
55.00848896434635,55.03733834833057
55.10204081632653,55.03733834833057
55.00848896434635,55.03733834833057
55.10204081632653,55.03733834833057
55.10204081632653,55.03733834833057
55.072463768115945,55.03733834833057
55.072463768115945,55.03733834833057
55.072463768115945,55.03733834833057
54.895666131621184,55.03733834833057
55.16129032258065,55.03733834833057
55.16129032258065,55.03733834833057
55.1301684532925,55.03733834833057
55.1301684532925,55.03733834833057
55.04587155963302,55.03733834833057
55.1301684532925,55.03733834833057
55.1301684532925,55.03733834833057
55.10204081632653,55.03733834833057
55.021834061135365,55.03733834833057
